time,rain
2020-10-05T07:07:59Z,36
2020-10-05T07:12:53Z,36
2020-10-05T07:18:00Z,36
2020-10-05T07:22:53Z,36
2020-10-05T07:28:01Z,37
2020-10-05T07:32:54Z,36
2020-10-05T07:38:03Z,35
2020-10-05T07:43:00Z,35
2020-10-05T07:47:52Z,35
2020-10-05T07:53:00Z,35
2020-10-05T07:57:52Z,34
2020-10-05T08:02:59Z,34
2020-10-05T08:07:53Z,34
2020-10-05T08:13:02Z,34
2020-10-05T08:17:55Z,33
2020-10-05T08:23:01Z,33
2020-10-05T08:27:55Z,33
2020-10-05T08:32:48Z,33
2020-10-05T08:37:56Z,33
2020-10-05T08:42:48Z,33
2020-10-05T08:47:56Z,32
2020-10-05T08:52:48Z,31
2020-10-05T08:57:57Z,29
2020-10-05T09:02:49Z,29
2020-10-05T09:07:56Z,20
2020-10-05T09:12:50Z,7
2020-10-05T09:17:57Z,8
2020-10-05T09:22:49Z,7
2020-10-05T09:27:57Z,6
2020-10-05T09:32:50Z,6
2020-10-05T09:37:57Z,6
2020-10-05T09:42:49Z,6
2020-10-05T09:47:57Z,7
2020-10-05T09:52:50Z,6
2020-10-05T09:57:57Z,6
2020-10-05T10:02:49Z,6
2020-10-05T10:07:57Z,6
2020-10-05T10:12:50Z,6
2020-10-05T10:17:59Z,6
2020-10-05T10:22:53Z,6
2020-10-05T10:27:45Z,6
2020-10-05T10:32:54Z,6
2020-10-05T10:37:46Z,6
2020-10-05T10:42:56Z,6
2020-10-05T10:47:49Z,6
2020-10-05T10:52:57Z,6
2020-10-05T10:57:53Z,6
2020-10-05T11:02:47Z,6
2020-10-05T11:08:10Z,6
2020-10-05T11:12:51Z,6
2020-10-05T11:17:46Z,5
2020-10-05T11:23:01Z,6
2020-10-05T11:28:01Z,6
2020-10-05T11:32:56Z,6
2020-10-05T11:37:50Z,6
2020-10-05T11:42:46Z,6
2020-10-05T11:47:43Z,5
2020-10-05T11:52:54Z,6
